code;name;dimension;description;bulb;Stok;discprice;price;maliyet
PND1725;DESİ AVİZE/CHANDELIER ;100X60 CM;METAL VE İÇİ DOLU PLEXİ MALZEMEDEN OLUŞMAKTADIR.İSTENİL RENK KAPLANMAKTADIR;G9;YOK;27500;38500;Bilgi Yok
PND1707-W;BOCKA APLİK/WALL;40X10 CM;METAL MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;E27;YOK;1275;1785;Bilgi Yok
PND1707;BOCKA SARKIT/PENDANT;60 Q;METAL MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;E27;YOK;6500;9100;Bilgi Yok
PND1309;KITAMI APLİK/WALL;Bilgi Yok;METAL MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;G4;YOK;4750;6650;Bilgi Yok
PND1309-A;KITAMI SARKIT/PENDANT;Bilgi Yok;METAL MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;G4;YOK;12500;17500;Bilgi Yok
PND1713-W;MATTEO APLİK/WALL;30X30 CM ;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;YOK;YOK;2650;3710;Bilgi Yok
PND1713;MATTEO SARKIT/PENDANT;80X40 CM ;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;YOK;YOK;6500;9100;Bilgi Yok
PND1713-A;MATTEO SARKIT/PENDANT;80X40 CM ;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;YOK;YOK;9500;13300;Bilgi Yok
PND1713-B;MATTEO SARKIT/PENDANT;90X35 CM;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;YOK;YOK;9000;12600;Bilgi Yok
PND1667;GLEEN SARKIT LINER/PENDANT;150X30 CM ;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;DS LED;VAR;18800;26320;9.400,00 TL
PND1667-A;GLEEN SARKIT /PENDANT;60X30 CM ;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;DS LED;VAR;11000;15400;5.500,00 TL
 PND1668;LINDA SARKIT/PENDANT;Ø:35CM H:90CM;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR. ŞEFFAF ÇİZGİLİ CAM KROM MEKANİZMA;DS LED;VAR;8900;12460;2.200,00 TL
PND1412;GREEN LIGHT SARKIT /PENDANT;Ø:28CM H:130CM;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR. ;E14;YOK;3750;5250;1.500,00 TL
PND1551;DIEGO APLİK/WALL;ÖLÇÜLER 11X80 CM ;Materyal Metal ve CAM SİYAH-ESKİTME;GU10-G9;VAR;2700;3780;255,00 TL
PND1685;MORRIS APLİK/WALL;  Ölçüler  6 X 60 cm    ;Materyal Metal Kasa Lumen 1100 Kelvin 3000 Renk Beyaz Siyah;samsung led Watt 11W;VAR;3000;4200;900,00 TL
